ethanolamine utilization,['4-Methylpyrazole']
 mixed acid fermentation,['4-Methylpyrazole']
 pyruvate fermentation to ethanol I,['4-Methylpyrazole']
 ethanol degradation I,['4-Methylpyrazole']
 ethanol degradation II,['4-Methylpyrazole']
 superpathway of N-acetylneuraminate degradation,['4-Methylpyrazole']
Stimuli-sensing channels,['AMILORIDE']
 Iron uptake and transport,"['AMILORIDE', 'Iron']"
 Amiloride Action Pathway,['AMILORIDE']
 Transport of small molecules,['AMILORIDE']
 Ion channel transport,['AMILORIDE']
Capecitabine Action Pathway,['CAPECITABINE']
 Fluoropyrimidine Activity,['CAPECITABINE']
 Capecitabine Metabolism Pathway,['CAPECITABINE']
Biochemical Pathways Part I,['Carglumic acid']
Cerebral Organic Acidurias,['DL-Lysine']
 including diseases,['DL-Lysine']
Dasatinib Inhibition of BCR-ABL,['Dasatinib']
Cytosolic iron-sulfur cluster assembly,['Iron']
 Metabolism,"['Iron', 'hydroquinone', 'nitric oxide', 'phenytoin', 'salicylic acid']"
 Cytosolic iron-sulfur cluster assembly (yeast),['Iron']
 Porphyrin_metabolism ( Porphyrin metabolism ),['Iron']
nitrate reduction I (denitrification),['Nitrogen']
 cornusiin E biosynthesis,['Nitrogen']
 Nitrogen Metabolism,['Nitrogen']
 nitrogen fixation I (ferredoxin),"['Nitrogen', 'nitric oxide']"
 nitrogen fixation II (flavodoxin),['Nitrogen']
 nitrate reduction VII (denitrification),"['Nitrogen', 'nitric oxide']"
 nitrifier denitrification,"['Nitrogen', 'nitric oxide']"
 nitrite-dependent anaerobic methane oxidation,"['Nitrogen', 'nitric oxide']"
 superpathway of hydrolyzable tannin biosynthesis,['Nitrogen']
 ammonia oxidation II (anaerobic),"['Nitrogen', 'nitric oxide']"
 nitrogen fixation,['Nitrogen']
Remifentanil Action Pathway,['REMIFENTANIL']
Valproic Acid Metabolism Pathway,['VALPROIC ACID']
 Valproic acid pathway,['VALPROIC ACID']
Chlorothiazide Action Pathway,['chlorothiazide']
Fenoprofen Action Pathway,['fenoprofen']
Riboflavin Metabolism,['hydroquinone']
 4-aminophenol degradation,['hydroquinone']
 Phase I - Functionalization of compounds,"['hydroquinone', 'phenytoin']"
 Glycerol Kinase Deficiency,['hydroquinone']
 alkylnitronates degradation,['hydroquinone']
 TCA cycle (ubiquinol-3),['hydroquinone']
 Glycerol Phosphate Shuttle,['hydroquinone']
 beta-Ureidopropionase Deficiency,['hydroquinone']
 Dihydropyrimidinase Deficiency,['hydroquinone']
 Benzene metabolism,['hydroquinone']
 MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),['hydroquinone']
 D-Glyceric Acidura,['hydroquinone']
 Glycerolipid Metabolism,['hydroquinone']
 superpathway of parathion degradation,['hydroquinone']
 TCA cycle (ubiquinol-8),['hydroquinone']
 TCA cycle (ubiquinol-0),['hydroquinone']
 Pyrimidine Metabolism,['hydroquinone']
 TCA cycle (ubiquinol-2),['hydroquinone']
 TCA cycle (ubiquinol-7),['hydroquinone']
 TCA cycle (ubiquinol-9),['hydroquinone']
 4-hydroxyacetophenone degradation,['hydroquinone']
 Familial Lipoprotein Lipase Deficiency,['hydroquinone']
 TCA cycle (ubiquinol-10),['hydroquinone']
 Biological oxidations,"['hydroquinone', 'phenytoin', 'salicylic acid']"
 L-Alanine Metabolism,['hydroquinone']
 firefly bioluminescence,['hydroquinone']
 TCA cycle (ubiquinol-5),['hydroquinone']
 4-nitrophenol degradation I,['hydroquinone']
 Phospholipid Biosynthesis,['hydroquinone']
 UMP Synthase Deficiency (Orotic Aciduria),['hydroquinone']
 TCA Cycle,['hydroquinone']
 TCA cycle (ubiquinol-4),['hydroquinone']
 TCA cycle (ubiquinol-6),['hydroquinone']
L-lysine fermentation to acetate and butanoate,['isoniazid']
 L-ornithine degradation II (Stickland reaction),['isoniazid']
 superpathway of L-lysine degradation,['isoniazid']
 methanol and methylamine oxidation to formaldehyde,['isoniazid']
 phenylethylamine degradation I,['isoniazid']
 methylamine degradation I,['isoniazid']
 superpathway of phenylethylamine degradation,['isoniazid']
 deacetylcephalosporin C biosynthesis,['isoniazid']
 superpathway of C1 compounds oxidation to CO2,['isoniazid']
 superpathway of penicillin,['isoniazid']
 cephalosporin and cephamycin biosynthesis,['isoniazid']
 isoniazid activation,['isoniazid']
 L-arginine degradation (Stickland reaction),['isoniazid']
Mepivacaine Action Pathway,['mepivacaine']
Metolazone Action Pathway,['metolazone']
taxol biosynthesis,['miconazole']
 sesamin biosynthesis,['miconazole']
 zymosterol biosynthesis,['miconazole']
 superpathway of rosmarinic acid biosynthesis,['miconazole']
 rosmarinic acid biosynthesis I,['miconazole']
Succinate Signaling During Inflammation,['nitric oxide']
 L-Arginine:Glycine Amidinotransferase Deficiency,['nitric oxide']
 Metabolism of nitric oxide: eNOS activation and regulation,['nitric oxide']
